epoch,train_loss,val_loss
1,0.925758627482823,1.1248670816421509
2,0.38630512271608625,0.6929341299193246
3,0.2230669481413705,0.7352716837610517
4,0.17432362735271453,0.6334899153028216
5,0.1512579883847918,0.6268290281295776
6,0.144796564749309,0.6322165387017387
7,0.1367910406419209,0.5698300344603402
8,0.13331581226416997,0.5864369869232178
9,0.13058521832738604,0.5360832725252423
10,0.11226341383797782,0.4731850709233965
11,0.08741896556956427,0.31168978554861887
12,0.06594023236206599,0.30509674549102783
13,0.05191561058163643,0.23546605450766428
14,0.04933304371578353,0.25795466559273855
15,0.047847437858581546,0.20951521822384425
16,0.03137145180787359,0.18810031243732997
17,0.02893985350217138,0.15911662791456496
18,0.025386561666216167,0.16265912353992462
19,0.02278374188712665,0.13523863681725093
20,0.01926071010529995,0.13747658899852208
21,0.017396172508597374,0.1301926906619753
22,0.015910004717963083,0.1342334066118513
23,0.01486845032445022,0.11842022623334612
24,0.01387928668409586,0.12044148998601097
25,0.012790048574762685,0.11987434114728655
26,0.012724653338747366,0.11633401257651192
27,0.011599887268883842,0.10729719272681645
28,0.010626026349408286,0.10354435231004443
29,0.009908352286687919,0.09660878777503967
30,0.009910562261939048,0.09367745688983373
